description,type,value
Slides,google_slides,https://docs.google.com/presentation/d/1EPF_2RbK2-Xu3Wm0AtonWjlt5egSrmiVQm1XlkQ18KE/view
Unplugged Neural Networks,google_doc,https://docs.google.com/document/d/168FsA22aT-Tup4H9OHIvffToo6N2PDSL8u07AgdJgec/edit?usp=drivesdk
Lesson Levels,level_summary,9520957
large language model (LLM),vocabulary,"large language model (LLM): a general purpose form of AI that is trained on a very, very large body of knowledge"
neural network,vocabulary,neural network: an interconnected network that makes decisions using weights and hidden layers. It is used to represent the relationship between words
training,vocabulary,"training: the process of teaching an AI model by exposing it to large amounts of data, allowing it to learn patterns, improve accuracy, and refine its predictions over time"
training data,vocabulary,"training data: the structured or unstructured information, such as text, images, or code, used to train an AI model and shape its ability to recognize patterns and generate accurate responses"
Objective: Analyze how training data shapes AI behavior and biases.,objective,Analyze how training data shapes AI behavior and biases.
Objective: Evaluate how AI's learning affects accuracy and reliability.,objective,Evaluate how AI's learning affects accuracy and reliability.
Objective: Experiment with AI responses to identify learning patterns.,objective,Experiment with AI responses to identify learning patterns.
"Objective: Explain how AI models, especially LLMs, use neural networ...",objective,"Explain how AI models, especially LLMs, use neural networks and training data."
