description,type,value
Ownership And Ai Stations,google_doc,https://docs.google.com/document/d/1BBvvbW5e3rCXOLsvZ58fHR2SNNzHU27uSnBsXxUDUsY/edit?usp=drivesdk
Slides,google_slides,https://docs.google.com/presentation/d/1hfLB28TgJrTpmcq8pl58Gv5-xqhoSe9ijoYT1JIZy08/view
Ownership And Ai Stations 1,google_doc,https://docs.google.com/document/d/1Eh2TASGZ7z0Wncry96Yg1ZZgiPQOOpUqizRQY8RnxO0/edit?usp=drivesdk
Lesson Levels,level_summary,9520965
attribution,vocabulary,"attribution: the act of giving credit to the original creator of a work, especially in the context of using or referencing their material"
copyright,vocabulary,"copyright: the legal right granted to the creator of an original work to use, distribute, and modify it"
ethics,vocabulary,"ethics: a guide for responsible choices about emerging technologies, ensuring privacy, consent, and safety for everyone"
transparency,vocabulary,"transparency: the practice of openly disclosing how something works, especially in terms of decision-making, data use, or AI processes"
Objective: Evaluate the role of AI as a collaborator in creative wor...,objective,"Evaluate the role of AI as a collaborator in creative work, including how it can support or undermine the contributions of human creators."
"Objective: Justify how AI should be used in creative situations, con...",objective,"Justify how AI should be used in creative situations, considering ethical, practical, and societal values."
